TA,TA code,Measure,Age group,Rate,Rate - 95% CI Lower,Rate - 95% CI Upper,Estimate,Estimate - 95% CI Lower,Estimate - 95% CI Upper,TA population,Method
Ashburton district,63,Physical,80+,67,55,80,828,678,984,1230,SDE
Ashburton district,63,Psychological,80+,4,2,7,48,30,78,1230,SDE
Ashburton district,63,Vision,80+,16,12,21,198,156,252,1230,SDE
Auckland,76,Hearing,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Auckland,76,Overall,0 to 4,5,3,6,5172,4290,6246,109398,SDE
Auckland,76,Physical,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Auckland,76,Psychological,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Auckland,76,Vision,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Auckland,76,Hearing,10 to 14,2,1,3,1563,1251,1905,102304,SDE
Auckland,76,Overall,10 to 14,13,11,15,13002,11436,14730,102304,SDE
Auckland,76,Physical,10 to 14,2,1,3,1962,1434,2634,102304,SDE
Auckland,76,Psychological,10 to 14,5,4,7,5487,4311,7092,102304,SDE
Auckland,76,Vision,10 to 14,1,0,2,843,594,1221,102304,SDE
Auckland,76,Hearing,15 to 19,2,1,3,2262,1986,2595,108696,SDE
Auckland,76,Overall,15 to 19,13,11,16,14664,12624,16710,108696,SDE
Auckland,76,Physical,15 to 19,3,2,5,3798,2916,4983,108696,SDE
Auckland,76,Psychological,15 to 19,5,3,7,5244,4080,6669,108696,SDE
Auckland,76,Vision,15 to 19,1,0,2,1152,741,1665,108696,SDE
Auckland,76,Hearing,20 to 24,3,2,4,3696,2874,4530,114556,SDE
Auckland,76,Overall,20 to 24,14,11,16,15711,13476,18228,114556,SDE
Auckland,76,Physical,20 to 24,5,4,8,6171,4671,8193,114556,SDE
Auckland,76,Psychological,20 to 24,5,3,7,5475,4170,7104,114556,SDE
Auckland,76,Vision,20 to 24,2,1,3,1830,1203,2568,114556,SDE
Auckland,76,Hearing,25 to 29,3,2,5,3270,2622,4551,106211,SDE
Auckland,76,Overall,25 to 29,13,11,16,14148,12126,16599,106211,SDE
Auckland,76,Physical,25 to 29,5,3,7,5691,4239,7386,106211,SDE
Auckland,76,Psychological,25 to 29,5,3,7,5268,3993,7149,106211,SDE
Auckland,76,Vision,25 to 29,2,1,3,1857,1251,2886,106211,SDE
Auckland,76,Hearing,30 to 34,3,2,4,3228,2619,4011,105189,SDE
Auckland,76,Overall,30 to 34,12,10,14,12684,11052,14493,105189,SDE
Auckland,76,Physical,30 to 34,5,4,7,5508,4209,7077,105189,SDE
Auckland,76,Psychological,30 to 34,5,3,7,5088,3900,6672,105189,SDE
Auckland,76,Vision,30 to 34,1,0,2,1308,897,1884,105189,SDE
Auckland,76,Hearing,35 to 39,3,2,5,3540,2913,4590,102279,SDE
Auckland,76,Overall,35 to 39,12,10,15,12546,10530,14610,102279,SDE
Auckland,76,Physical,35 to 39,6,4,8,6264,4905,7992,102279,SDE
Auckland,76,Psychological,35 to 39,5,3,7,4821,3645,6216,102279,SDE
Auckland,76,Vision,35 to 39,1,0,2,1137,708,1722,102279,SDE
Auckland,76,Hearing,40 to 44,5,4,6,5550,4809,6456,113775,SDE
Auckland,76,Overall,40 to 44,16,14,18,18177,16191,20421,113775,SDE
Auckland,76,Physical,40 to 44,8,6,11,9123,7356,11481,113775,SDE
Auckland,76,Psychological,40 to 44,5,4,7,5964,4635,7581,113775,SDE
Auckland,76,Vision,40 to 44,2,1,3,2655,2055,3357,113775,SDE
Auckland,76,Hearing,45 to 49,7,6,8,7035,6276,8061,103244,SDE
Auckland,76,Overall,45 to 49,20,17,24,21102,18522,24075,103244,SDE
Auckland,76,Physical,45 to 49,10,8,13,10836,8823,13257,103244,SDE
Auckland,76,Psychological,45 to 49,6,4,8,5859,4602,7392,103244,SDE
Auckland,76,Vision,45 to 49,5,3,6,4686,3708,5979,103244,SDE
Auckland,76,Hearing,5 to 9,2,1,3,1710,1272,2127,104267,SDE
Auckland,76,Overall,5 to 9,10,8,12,10491,9120,12039,104267,SDE
Auckland,76,Physical,5 to 9,1,0,2,1473,1095,1983,104267,SDE
Auckland,76,Psychological,5 to 9,4,2,5,3912,3030,5052,104267,SDE
Auckland,76,Vision,5 to 9,1,0,2,831,594,1155,104267,SDE
Auckland,76,Hearing,50 to 54,9,8,10,8316,7704,9387,95705,SDE
Auckland,76,Overall,50 to 54,24,21,27,22830,20529,25416,95705,SDE
Auckland,76,Physical,50 to 54,14,11,17,12957,10725,15624,95705,SDE
Auckland,76,Psychological,50 to 54,6,4,8,5424,4272,6885,95705,SDE
Auckland,76,Vision,50 to 54,6,4,7,5319,4428,6456,95705,SDE
Auckland,76,Hearing,55 to 59,11,9,12,8709,7533,9423,79290,SDE
Auckland,76,Overall,55 to 59,27,24,30,21390,19116,23619,79290,SDE
Auckland,76,Physical,55 to 59,17,14,21,13551,11217,16209,79290,SDE
Auckland,76,Psychological,55 to 59,5,3,7,3981,3099,5082,79290,SDE
Auckland,76,Vision,55 to 59,5,4,7,4254,3453,5097,79290,SDE
Auckland,76,Hearing,60 to 64,14,12,16,9732,8805,10575,68392,SDE
Auckland,76,Overall,60 to 64,32,28,35,21798,19713,23934,68392,SDE
Auckland,76,Physical,60 to 64,22,18,27,15156,12729,17958,68392,SDE
Auckland,76,Psychological,60 to 64,4,3,6,2967,2316,3750,68392,SDE
Auckland,76,Vision,60 to 64,5,4,7,3558,2904,4254,68392,SDE
Auckland,76,Hearing,65 to 69,18,15,20,9771,8637,10734,54168,SDE
Auckland,76,Overall,65 to 69,38,34,42,20526,18498,22602,54168,SDE
Auckland,76,Physical,65 to 69,28,23,34,15240,12732,18099,54168,SDE
Auckland,76,Psychological,65 to 69,4,2,5,1989,1494,2598,54168,SDE
Auckland,76,Vision,65 to 69,5,4,7,2958,2400,3594,54168,SDE
Auckland,76,Hearing,70 to 74,23,19,26,9201,7977,10095,39942,SDE
Auckland,76,Overall,70 to 74,47,42,52,18630,16878,20568,39942,SDE
Auckland,76,Physical,70 to 74,37,30,44,14709,12378,17448,39942,SDE
Auckland,76,Psychological,70 to 74,3,2,5,1350,993,1800,39942,SDE
Auckland,76,Vision,70 to 74,7,5,8,2616,2115,3198,39942,SDE
Auckland,76,Hearing,75 to 79,28,24,32,7662,6663,8439,26923,SDE
Auckland,76,Overall,75 to 79,57,52,63,15354,14001,16830,26923,SDE
Auckland,76,Physical,75 to 79,48,40,56,12804,10842,15060,26923,SDE
Auckland,76,Psychological,75 to 79,3,2,5,891,657,1197,26923,SDE
Auckland,76,Vision,75 to 79,9,7,11,2340,1917,2844,26923,SDE
Auckland,76,Hearing,80+,39,34,44,13116,11643,14886,33959,SDE
Auckland,76,Overall,80+,73,66,81,24852,22506,27264,33959,SDE
Auckland,76,Physical,80+,66,55,78,22404,18789,26442,33959,SDE
Auckland,76,Psychological,80+,3,2,6,1176,771,1767,33959,SDE
Auckland,76,Vision,80+,16,13,20,5508,4464,6741,33959,SDE
Buller district,55,Hearing,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Buller district,55,Overall,0 to 4,6,4,8,39,30,51,716,SDE
Buller district,55,Physical,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Buller district,55,Psychological,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Buller district,55,Vision,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Buller district,55,Hearing,10 to 14,2,1,3,12,9,18,673,SDE
Buller district,55,Overall,10 to 14,15,12,18,99,81,123,673,SDE
Buller district,55,Physical,10 to 14,2,1,4,15,9,24,673,SDE
Buller district,55,Psychological,10 to 14,6,4,9,42,30,60,673,SDE
Buller district,55,Vision,10 to 14,1,0,2,6,3,9,673,SDE
Buller district,55,Hearing,15 to 19,2,1,3,12,9,18,578,SDE
Buller district,55,Overall,15 to 19,16,13,20,93,75,117,578,SDE
Buller district,55,Physical,15 to 19,4,2,6,24,15,36,578,SDE
Buller district,55,Psychological,15 to 19,6,4,9,33,24,48,578,SDE
Buller district,55,Vision,15 to 19,1,0,2,6,3,12,578,SDE
Buller district,55,Hearing,20 to 24,4,2,5,21,12,27,531,SDE
Buller district,55,Overall,20 to 24,18,14,23,96,75,120,531,SDE
Buller district,55,Physical,20 to 24,7,5,11,36,24,54,531,SDE
Buller district,55,Psychological,20 to 24,7,4,10,36,24,48,531,SDE
Buller district,55,Vision,20 to 24,2,1,3,9,3,15,531,SDE
Buller district,55,Hearing,25 to 29,4,3,6,21,15,33,538,SDE
Buller district,55,Overall,25 to 29,17,13,21,90,72,114,538,SDE
Buller district,55,Physical,25 to 29,7,4,10,36,24,51,538,SDE
Buller district,55,Psychological,25 to 29,6,4,10,33,24,51,538,SDE
Buller district,55,Vision,25 to 29,2,1,4,9,6,18,538,SDE
Buller district,55,Hearing,30 to 34,4,2,6,21,15,33,541,SDE
Buller district,55,Overall,30 to 34,14,11,18,78,63,96,541,SDE
Buller district,55,Physical,30 to 34,6,4,9,33,24,48,541,SDE
Buller district,55,Psychological,30 to 34,6,3,8,30,21,42,541,SDE
Buller district,55,Vision,30 to 34,1,0,2,6,3,12,541,SDE
Buller district,55,Hearing,35 to 39,4,3,7,27,18,42,633,SDE
Buller district,55,Overall,35 to 39,16,12,20,99,78,123,633,SDE
Buller district,55,Physical,35 to 39,8,5,11,51,36,72,633,SDE
Buller district,55,Psychological,35 to 39,6,4,9,39,24,54,633,SDE
Buller district,55,Vision,35 to 39,1,0,2,6,3,12,633,SDE
Buller district,55,Hearing,40 to 44,6,4,8,48,36,60,757,SDE
Buller district,55,Overall,40 to 44,19,15,24,144,117,177,757,SDE
Buller district,55,Physical,40 to 44,10,7,14,72,54,102,757,SDE
Buller district,55,Psychological,40 to 44,6,4,9,48,33,66,757,SDE
Buller district,55,Vision,40 to 44,2,1,4,18,12,27,757,SDE
Buller district,55,Hearing,45 to 49,8,6,11,69,57,93,852,SDE
Buller district,55,Overall,45 to 49,26,21,32,225,186,273,852,SDE
Buller district,55,Physical,45 to 49,14,10,19,120,90,162,852,SDE
Buller district,55,Psychological,45 to 49,8,5,11,69,48,93,852,SDE
Buller district,55,Vision,45 to 49,5,3,7,42,30,57,852,SDE
Buller district,55,Hearing,5 to 9,2,1,3,12,6,18,674,SDE
Buller district,55,Overall,5 to 9,12,9,15,81,66,102,674,SDE
Buller district,55,Physical,5 to 9,2,1,3,12,6,18,674,SDE
Buller district,55,Psychological,5 to 9,5,3,7,30,21,42,674,SDE
Buller district,55,Vision,5 to 9,1,0,2,6,3,9,674,SDE
Buller district,55,Hearing,50 to 54,11,9,15,108,87,138,947,SDE
Buller district,55,Overall,50 to 54,30,25,36,288,243,342,947,SDE
Buller district,55,Physical,50 to 54,18,13,24,171,129,225,947,SDE
Buller district,55,Psychological,50 to 54,8,5,11,75,54,102,947,SDE
Buller district,55,Vision,50 to 54,6,4,8,57,42,75,947,SDE
Buller district,55,Hearing,55 to 59,14,11,18,111,90,135,790,SDE
Buller district,55,Overall,55 to 59,35,29,41,273,234,321,790,SDE
Buller district,55,Physical,55 to 59,23,17,30,180,138,234,790,SDE
Buller district,55,Psychological,55 to 59,7,5,10,57,39,78,790,SDE
Buller district,55,Vision,55 to 59,6,4,8,45,33,60,790,SDE
Buller district,55,Hearing,60 to 64,17,14,21,120,99,147,704,SDE
Buller district,55,Overall,60 to 64,39,33,45,273,234,315,704,SDE
Buller district,55,Physical,60 to 64,28,21,36,195,150,249,704,SDE
Buller district,55,Psychological,60 to 64,6,4,9,42,27,60,704,SDE
Buller district,55,Vision,60 to 64,5,4,7,39,27,51,704,SDE
Buller district,55,Hearing,65 to 69,22,18,27,123,102,150,553,SDE
Buller district,55,Overall,65 to 69,47,40,54,258,225,297,553,SDE
Buller district,55,Physical,65 to 69,36,28,45,198,156,249,553,SDE
Buller district,55,Psychological,65 to 69,5,3,8,30,18,42,553,SDE
Buller district,55,Vision,65 to 69,6,4,8,33,24,42,553,SDE
Buller district,55,Hearing,70 to 74,27,22,32,108,90,129,409,SDE
Buller district,55,Overall,70 to 74,55,47,62,225,195,255,409,SDE
Buller district,55,Physical,70 to 74,44,35,55,180,144,225,409,SDE
Buller district,55,Psychological,70 to 74,5,3,7,18,12,27,409,SDE
Buller district,55,Vision,70 to 74,7,5,9,27,21,39,409,SDE
Buller district,55,Hearing,75 to 79,32,27,39,102,87,126,322,SDE
Buller district,55,Overall,75 to 79,64,57,73,207,183,234,322,SDE
Buller district,55,Physical,75 to 79,55,45,68,177,144,216,322,SDE
Buller district,55,Psychological,75 to 79,4,2,7,15,9,21,322,SDE
Buller district,55,Vision,75 to 79,10,7,13,30,24,42,322,SDE
Buller district,55,Hearing,80+,45,39,55,165,141,201,366,SDE
Buller district,55,Overall,80+,78,69,86,285,255,315,366,SDE
Buller district,55,Physical,80+,71,58,85,258,213,312,366,SDE
Buller district,55,Psychological,80+,4,2,7,15,9,27,366,SDE
Buller district,55,Vision,80+,18,13,23,66,48,84,366,SDE
Carterton district,49,Hearing,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Carterton district,49,Overall,0 to 4,6,4,8,33,24,45,580,SDE
Carterton district,49,Physical,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Carterton district,49,Psychological,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Carterton district,49,Vision,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Carterton district,49,Hearing,10 to 14,2,1,3,9,6,15,572,SDE
Carterton district,49,Overall,10 to 14,15,12,18,84,69,105,572,SDE
Carterton district,49,Physical,10 to 14,2,1,4,12,6,18,572,SDE
Carterton district,49,Psychological,10 to 14,6,4,8,33,24,48,572,SDE
Carterton district,49,Vision,10 to 14,1,0,2,6,3,9,572,SDE
Carterton district,49,Hearing,15 to 19,2,1,3,12,9,15,518,SDE
Carterton district,49,Overall,15 to 19,17,14,21,90,72,108,518,SDE
Carterton district,49,Physical,15 to 19,4,3,6,21,15,33,518,SDE
Carterton district,49,Psychological,15 to 19,6,4,9,33,21,45,518,SDE
Carterton district,49,Vision,15 to 19,1,0,2,6,3,12,518,SDE
Carterton district,49,Hearing,20 to 24,4,3,6,12,9,18,320,SDE
Carterton district,49,Overall,20 to 24,19,15,24,63,48,78,320,SDE
Carterton district,49,Physical,20 to 24,7,5,10,24,15,33,320,SDE
Carterton district,49,Psychological,20 to 24,7,5,10,24,15,33,320,SDE
Carterton district,49,Vision,20 to 24,2,1,4,6,3,12,320,SDE
Carterton district,49,Hearing,25 to 29,4,2,6,12,6,18,298,SDE
Carterton district,49,Overall,25 to 29,17,13,21,51,39,63,298,SDE
Carterton district,49,Physical,25 to 29,7,4,10,21,12,27,298,SDE
Carterton district,49,Psychological,25 to 29,6,4,9,18,12,27,298,SDE
Carterton district,49,Vision,25 to 29,2,1,4,6,3,9,298,SDE
Carterton district,49,Hearing,30 to 34,4,2,6,15,9,21,406,SDE
Carterton district,49,Overall,30 to 34,16,12,19,63,51,78,406,SDE
Carterton district,49,Physical,30 to 34,7,4,9,27,18,39,406,SDE
Carterton district,49,Psychological,30 to 34,6,4,9,24,15,36,406,SDE
Carterton district,49,Vision,30 to 34,1,0,3,6,3,9,406,SDE
Carterton district,49,Hearing,35 to 39,4,3,6,21,15,30,510,SDE
Carterton district,49,Overall,35 to 39,16,12,20,78,63,99,510,SDE
Carterton district,49,Physical,35 to 39,8,5,11,39,27,54,510,SDE
Carterton district,49,Psychological,35 to 39,6,4,8,30,21,42,510,SDE
Carterton district,49,Vision,35 to 39,1,0,2,6,3,12,510,SDE
Carterton district,49,Hearing,40 to 44,5,4,7,33,27,42,644,SDE
Carterton district,49,Overall,40 to 44,19,15,23,123,99,150,644,SDE
Carterton district,49,Physical,40 to 44,9,6,13,60,42,81,644,SDE
Carterton district,49,Psychological,40 to 44,6,4,9,39,27,54,644,SDE
Carterton district,49,Vision,40 to 44,2,1,4,15,9,24,644,SDE
Carterton district,49,Hearing,45 to 49,8,6,11,48,39,63,600,SDE
Carterton district,49,Overall,45 to 49,25,20,31,150,123,183,600,SDE
Carterton district,49,Physical,45 to 49,13,9,17,75,57,102,600,SDE
Carterton district,49,Psychological,45 to 49,7,5,10,42,30,60,600,SDE
Carterton district,49,Vision,45 to 49,5,3,7,30,21,42,600,SDE
Carterton district,49,Hearing,5 to 9,2,1,3,9,6,15,604,SDE
Carterton district,49,Overall,5 to 9,12,9,15,69,57,90,604,SDE
Carterton district,49,Physical,5 to 9,2,1,3,9,6,15,604,SDE
Carterton district,49,Psychological,5 to 9,4,2,6,24,18,36,604,SDE
Carterton district,49,Vision,5 to 9,1,0,2,6,3,9,604,SDE
Carterton district,49,Hearing,50 to 54,10,9,13,66,57,84,653,SDE
Carterton district,49,Overall,50 to 54,29,24,34,189,159,222,653,SDE
Carterton district,49,Physical,50 to 54,16,12,21,105,78,135,653,SDE
Carterton district,49,Psychological,50 to 54,7,5,10,45,33,63,653,SDE
Carterton district,49,Vision,50 to 54,6,4,8,39,30,54,653,SDE
Carterton district,49,Hearing,55 to 59,13,10,16,78,66,96,621,SDE
Carterton district,49,Overall,55 to 59,32,27,38,198,168,234,621,SDE
Carterton district,49,Physical,55 to 59,20,15,26,123,96,159,621,SDE
Carterton district,49,Psychological,55 to 59,6,4,9,39,27,54,621,SDE
Carterton district,49,Vision,55 to 59,5,4,8,33,24,45,621,SDE
Carterton district,49,Hearing,60 to 64,15,13,19,93,81,117,610,SDE
Carterton district,49,Overall,60 to 64,36,30,42,219,186,255,610,SDE
Carterton district,49,Physical,60 to 64,24,19,31,150,117,189,610,SDE
Carterton district,49,Psychological,60 to 64,5,3,7,30,21,42,610,SDE
Carterton district,49,Vision,60 to 64,5,4,7,33,24,42,610,SDE
Carterton district,49,Hearing,65 to 69,20,17,25,117,99,144,584,SDE
Carterton district,49,Overall,65 to 69,42,36,49,249,213,285,584,SDE
Carterton district,49,Physical,65 to 69,30,24,38,177,138,222,584,SDE
Carterton district,49,Psychological,65 to 69,4,2,6,24,15,36,584,SDE
Carterton district,49,Vision,65 to 69,5,4,8,33,24,42,584,SDE
Carterton district,49,Hearing,70 to 74,25,21,31,96,81,117,381,SDE
Carterton district,49,Overall,70 to 74,51,44,59,195,168,222,381,SDE
Carterton district,49,Physical,70 to 74,39,31,49,150,117,186,381,SDE
Carterton district,49,Psychological,70 to 74,4,2,6,15,9,21,381,SDE
Carterton district,49,Vision,70 to 74,7,5,9,24,18,33,381,SDE
Carterton district,49,Hearing,75 to 79,30,25,37,69,57,87,235,SDE
Carterton district,49,Overall,75 to 79,62,54,70,144,129,165,235,SDE
Carterton district,49,Physical,75 to 79,51,41,62,120,96,147,235,SDE
Carterton district,49,Psychological,75 to 79,4,2,6,9,6,15,235,SDE
Carterton district,49,Vision,75 to 79,9,7,12,21,15,30,235,SDE
Carterton district,49,Hearing,80+,38,32,45,105,87,123,275,SDE
Carterton district,49,Overall,80+,76,67,84,207,186,231,275,SDE
Carterton district,49,Physical,80+,67,55,81,183,150,222,275,SDE
Carterton district,49,Psychological,80+,4,2,6,12,6,18,275,SDE
Carterton district,49,Vision,80+,16,12,20,42,33,57,275,SDE
Central Hawke's Bay district,32,Hearing,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Central Hawke's Bay district,32,Overall,0 to 4,6,4,9,63,48,84,1020,SDE
Central Hawke's Bay district,32,Physical,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Central Hawke's Bay district,32,Psychological,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Central Hawke's Bay district,32,Vision,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Central Hawke's Bay district,32,Hearing,10 to 14,2,1,3,18,15,24,920,SDE
Central Hawke's Bay district,32,Overall,10 to 14,17,13,21,153,126,189,920,SDE
Central Hawke's Bay district,32,Physical,10 to 14,3,1,4,24,15,39,920,SDE
Central Hawke's Bay district,32,Psychological,10 to 14,7,5,10,66,48,90,920,SDE
Central Hawke's Bay district,32,Vision,10 to 14,1,0,2,9,6,15,920,SDE
Central Hawke's Bay district,32,Hearing,15 to 19,2,1,4,18,12,24,753,SDE
Central Hawke's Bay district,32,Overall,15 to 19,17,13,21,129,102,159,753,SDE
Central Hawke's Bay district,32,Physical,15 to 19,4,3,7,33,21,48,753,SDE
Central Hawke's Bay district,32,Psychological,15 to 19,6,4,9,45,30,63,753,SDE
Central Hawke's Bay district,32,Vision,15 to 19,1,0,2,9,6,15,753,SDE
Central Hawke's Bay district,32,Hearing,20 to 24,4,3,6,24,18,33,575,SDE
Central Hawke's Bay district,32,Overall,20 to 24,19,15,23,108,84,132,575,SDE
Central Hawke's Bay district,32,Physical,20 to 24,8,5,11,45,30,63,575,SDE
Central Hawke's Bay district,32,Psychological,20 to 24,7,4,10,39,27,54,575,SDE
Central Hawke's Bay district,32,Vision,20 to 24,2,1,3,12,6,18,575,SDE
Central Hawke's Bay district,32,Hearing,25 to 29,4,2,5,21,12,27,554,SDE
Central Hawke's Bay district,32,Overall,25 to 29,16,13,21,90,72,117,554,SDE
Central Hawke's Bay district,32,Physical,25 to 29,7,4,10,36,24,54,554,SDE
Central Hawke's Bay district,32,Psychological,25 to 29,6,4,9,33,21,48,554,SDE
Central Hawke's Bay district,32,Vision,25 to 29,2,1,4,12,6,18,554,SDE
